siteId,long,lat,watershed,type
PRM01,-86.16520695,34.96878824,PRF,0
PRM06,-86.17169774,34.96711041,PRF,0
PRM07,-86.17321987,34.96715685,PRF,0
PRM08,-86.17404489,34.9668108,PRF,0
PRB01,-86.1752672,34.96616987,PRF,0
PRM11,-86.17583646,34.96510971,PRF,0
PRM12,-86.17658866,34.9643754,PRF,0
PRM10,-86.1754046,34.96557567,PRF,0
PRM09,-86.17481713,34.966266,PRF,0
PRM05,-86.17077468,34.96740168,PRF,0
PRM04,-86.16966677,34.96755642,PRF,0
PRM03,-86.16785794,34.96769733,PRF,0
PRM02,-86.16669443,34.96793281,PRF,0
PRM13,-86.17815827,34.9629523,PRF,0
PRM14,-86.17863212,34.96266696,PRF,0
PRM16,-86.17960376,34.96188903,PRF,0
PRA01,-86.17976168,34.96143022,PRF,0
PRM18,-86.18115174,34.96152977,PRF,0
PRM17,-86.18003352,34.96163043,PRF,0
PRA02,-86.17967362,34.96037462,PRF,0
PRM19,-86.18338963,34.96118415,PRF,0
PRM23,-86.18655977,34.9618186,PRF,0
PRM22,-86.18570913,34.96144319,PRF,0
PRM21,-86.18482421,34.96121183,PRF,0
PRM20,-86.18386147,34.96109715,PRF,0
PRB02,-86.17752101,34.96643763,PRF,0
PRB03,-86.1795151,34.966388,PRF,0
PRM15,-86.17908495,34.9622913,PRF,0
PRR06,-86.17171713,34.96726626,PRF,0
PRR15,-86.17905325,34.96226026,PRF,0
PRR19,-86.18338244,34.96111245,PRF,0
TLM20,-85.60513063,33.76861664,TAL,0
TLM22,-85.60421948,33.76948867,TAL,1
TLM21,-85.60467816,33.76886124,TAL,1
TLM18,-85.60490323,33.76727392,TAL,0
TLM17,-85.60430565,33.76601858,TAL,0
TLM16,-85.60335906,33.76477593,TAL,0
TLA04,-85.60717965,33.76456107,TAL,0
TLA03,-85.60574665,33.76442836,TAL,0
TLA02,-85.60487839,33.76450178,TAL,0
TLA01,-85.60383454,33.76434015,TAL,0
TLM15,-85.60281725,33.76377093,TAL,0
TLM14,-85.60235125,33.76300818,TAL,0
TLM13,-85.60283295,33.76218957,TAL,0
TLM12,-85.60292911,33.76179111,TAL,0
TLM10,-85.60285453,33.76147396,TAL,0
TLM11,-85.60249477,33.76092051,TAL,0
TLM09,-85.60189156,33.76063066,TAL,0
TLM06,-85.59948865,33.76008734,TAL,0
TLB01,-85.5993667,33.75961982,TAL,0
TLM04,-85.59752568,33.76068101,TAL,0
TLC02,-85.59913657,33.76273866,TAL,0
TLC01,-85.59669384,33.76157886,TAL,0
TLM03,-85.59631656,33.76149133,TAL,0
TLM02,-85.59612852,33.76202192,TAL,0
TLM08,-85.60121468,33.76058137,TAL,0
TLM01,-85.59550775,33.76219799,TAL,0
TLX03,-85.60553138,33.76910396,TAL,1
TLX02,-85.60604889,33.76915142,TAL,1
TLX01,-85.6057692,33.76857391,TAL,1
TLM19,-85.60573527,33.76820728,TAL,0
TLY02,-85.6059828,33.76707803,TAL,1
TLY03,-85.60621535,33.76748852,TAL,1
TLY01,-85.60568816,33.7674243,TAL,1
TLMG5,-85.60383882,33.76530577,TAL,1
TLAG4,-85.6063868,33.76428576,TAL,1
TLA05,-85.6077817,33.76430983,TAL,1
TLA06,-85.6081551,33.7640227,TAL,1
TLA08,-85.60780891,33.76509258,TAL,1
TLA07,-85.60769229,33.76490814,TAL,1
TLZ03,-85.60404969,33.76152078,TAL,1
TLZ02,-85.60398291,33.7613369,TAL,1
TLZ01,-85.60336284,33.76147139,TAL,1
TLCG1,-85.59761542,33.76128968,TAL,1
TLCG2,-85.59845045,33.76203167,TAL,1
TLC03,-85.60019319,33.76272568,TAL,1
TLC04,-85.60078591,33.76304871,TAL,1
TLC05,-85.59972549,33.76329473,TAL,1
TLC06,-85.60045433,33.7638274,TAL,1
TLC07,-85.6004578,33.76422698,TAL,1
TLB02,-85.59949737,33.75893874,TAL,1
TLB03,-85.59896433,33.7586247,TAL,1
TLB04,-85.5987073,33.75849693,TAL,1
TLB05,-85.59981464,33.75842626,TAL,1
TLMG3,-85.59681253,33.76102251,TAL,1
TLM07,-85.59962869,33.76005563,TAL,0
TLM05,-85.59850825,33.7603176,TAL,0
WHM01,-88.0134,32.98414595,WHR,0
WHA02,-88.0111,32.98558943,WHR,0
WHM03,-88.0111,32.98521038,WHR,0
WHB01,-88.0112,32.98502037,WHR,0
WHM02,-88.0118,32.98493478,WHR,0
WHM14,-88.0025,32.98595644,WHR,0
WHM13,-88.0029,32.98644974,WHR,0
WHM12,-88.003,32.98672804,WHR,0
WHM11,-88.004,32.98747755,WHR,0
WHM10,-88.005,32.98750613,WHR,0
WHM09,-88.0057,32.9868418,WHR,0
WHM08,-88.0069,32.98643513,WHR,0
WHM07,-88.0076,32.98619546,WHR,0
WHM06,-88.0083,32.98635175,WHR,0
WHM05,-88.0096,32.98585409,WHR,0
WHM04,-88.0105,32.98555804,WHR,0
WHA01,-88.0113,32.98529935,WHR,0
WHA03,-88.011,32.9858065,WHR,0
WHA04,-88.0109,32.98657406,WHR,0
WHA05,-88.0105,32.98736192,WHR,0
WHA06,-88.0094,32.98850775,WHR,0
WHB02,-88.0105,32.98508012,WHR,0
WHB03,-88.0096,32.98451962,WHR,0
WHB04,-88.0083,32.98436723,WHR,0
WHB05,-88.007,32.98460358,WHR,0
WHB06,-88.0058,32.98473066,WHR,0
WHB07,-88.0044,32.98468775,WHR,0
WHR12,-88.003,32.98672549,WHR,0
WHR10,-88.005,32.9875204,WHR,0
WHR07,-88.0075,32.98616707,WHR,0