"","dry_event_id","gage","wet_date","wet_yday","wet_aday"
"1",1,2264000,1979-01-12,12,317
"2",5,2264000,1979-05-08,128,67
"3",8,2264000,1979-07-15,196,135
"4",29,2264000,1980-09-07,251,190
"5",31,2264000,1981-12-27,361,300
"6",35,2264000,1982-05-31,151,90
"7",36,2264000,1982-06-17,168,107
"8",50,2264000,1982-01-21,21,326
"9",91,2264000,1984-06-15,167,106
"10",106,2264000,1985-08-01,213,152
"11",126,2264000,1986-06-22,173,112
"12",200,2264000,1989-07-14,195,134
"13",207,2264000,1990-09-29,272,211
"14",210,2264000,1990-03-18,77,16
"15",290,2264000,1993-12-26,360,299
"16",295,2264000,1994-04-21,111,50
"17",297,2264000,1994-05-30,150,89
"18",392,2264000,1997-10-27,300,239
"19",410,2264000,1998-07-12,193,132
"20",427,2264000,1999-06-26,177,116
"21",430,2264000,1999-09-15,258,197
"22",439,2264000,2000-07-10,192,131
"23",447,2264000,2000-07-13,195,134
"24",455,2264000,2001-01-15,15,320
"25",457,2264000,2002-06-20,171,110
"26",518,2264000,2006-06-21,172,111
"27",527,2264000,2006-12-16,350,289
"28",529,2264000,2007-06-25,176,115
"29",531,2264000,2007-08-24,236,175
"30",543,2264000,2008-01-13,13,318
"31",549,2264000,2008-07-14,196,135
"32",562,2264000,2009-05-20,140,79
"33",613,2264000,2010-01-17,17,322
"34",616,2264000,2011-06-29,180,119
"35",629,2264000,2011-06-25,176,115
"36",641,2264000,2013-05-04,124,63
"37",706,2264000,2015-06-24,175,114
"38",752,2264000,2017-06-04,155,94
"39",774,2264000,2018-04-10,100,39
"40",775,2264000,2018-05-17,137,76
"41",851,2264000,2020-06-01,153,92
"42",885,2264000,2021-06-16,167,106
"43",944,2264000,2023-04-24,114,53
"44",946,2264000,2023-06-25,176,115
"45",5,2266200,1979-04-25,115,54
"46",8,2266200,1979-08-14,226,165
"47",17,2266200,1980-07-21,203,142
"48",26,2266200,1982-01-20,20,325
"49",30,2266200,1983-06-09,160,99
"50",31,2266200,1983-06-22,173,112
"51",42,2266200,1984-06-26,178,117
"52",50,2266200,1984-09-02,246,185
"53",61,2266200,1986-08-19,231,170
"54",63,2266200,1986-01-05,5,310
"55",70,2266200,1987-06-27,178,117
"56",72,2266200,1987-07-16,197,136
"57",76,2266200,1987-09-03,246,185
"58",79,2266200,1987-10-12,285,224
"59",80,2266200,1987-11-01,305,244
"60",91,2266200,1988-05-26,147,86
"61",92,2266200,1988-06-07,159,98
"62",95,2266200,1988-07-15,197,136
"63",107,2266200,1989-09-08,251,190
"64",111,2266200,1989-11-16,320,259
"65",112,2266200,1989-12-09,343,282
"66",116,2266200,1990-07-17,198,137
"67",124,2266200,1990-01-15,15,320
"68",171,2266200,1994-06-08,159,98
"69",201,2266200,1997-06-01,152,91
"70",223,2266200,1998-07-20,201,140
"71",224,2266200,1998-09-17,260,199
"72",228,2266200,1999-07-03,184,123
"73",229,2266200,1999-09-27,270,209
"74",232,2266200,2000-08-08,221,160
"75",239,2266200,2002-06-18,169,108
"76",290,2266200,2004-06-09,161,100
"77",333,2266200,2006-07-07,188,127
"78",340,2266200,2006-12-25,359,298
"79",341,2266200,2007-01-27,27,332
"80",345,2266200,2008-08-26,239,178
"81",348,2266200,2008-11-20,325,264
"82",355,2266200,2009-12-03,337,276
"83",382,2266200,2011-07-07,188,127
"84",394,2266200,2012-06-07,159,98
"85",406,2266200,2013-03-24,83,22
"86",407,2266200,2013-04-21,111,50
"87",408,2266200,2013-05-30,150,89
"88",499,2266200,2017-06-01,152,91
"89",565,2266200,2020-05-23,144,83
"90",585,2266200,2021-06-14,165,104
"91",2,8052700,1980-01-09,9,314
"92",6,8052700,1980-03-30,90,29
"93",7,8052700,1980-04-15,106,45
"94",8,8052700,1980-05-17,138,77
"95",10,8052700,1980-06-22,174,113
"96",11,8052700,1980-09-29,273,212
"97",38,8052700,1981-10-07,280,219
"98",68,8052700,1982-11-27,331,270
"99",82,8052700,1983-05-15,135,74
"100",88,8052700,1983-08-19,231,170
"101",89,8052700,1983-10-21,294,233
"102",90,8052700,1983-11-06,310,249
"103",91,8052700,1983-11-19,323,262
"104",96,8052700,1983-12-27,361,300
"105",97,8052700,1984-01-21,21,326
"106",98,8052700,1984-02-07,38,343
"107",101,8052700,1984-02-26,57,362
"108",109,8052700,1984-04-30,121,60
"109",111,8052700,1984-10-26,300,239
"110",133,8052700,1985-07-03,184,123
"111",134,8052700,1985-10-18,291,230
"112",153,8052700,1986-08-10,222,161
"113",154,8052700,1986-09-05,248,187
"114",155,8052700,1986-09-29,272,211
"115",157,8052700,1986-11-06,310,249
"116",179,8052700,1987-07-25,206,145
"117",180,8052700,1987-11-10,314,253
"118",190,8052700,1988-02-16,47,352
"119",200,8052700,1988-04-19,110,49
"120",201,8052700,1988-06-02,154,93
"121",202,8052700,1988-08-05,218,157
"122",203,8052700,1988-11-14,319,258
"123",223,8052700,1989-09-10,253,192
"124",224,8052700,1989-11-27,331,270
"125",225,8052700,1989-12-08,342,281
"126",226,8052700,1990-01-16,16,321
"127",243,8052700,1990-07-12,193,132
"128",249,8052700,1990-10-09,282,221
"129",284,8052700,1991-08-31,243,182
"130",290,8052700,1991-10-11,284,223
"131",324,8052700,1992-07-18,200,139
"132",326,8052700,1992-08-21,234,173
"133",327,8052700,1992-09-04,248,187
"134",330,8052700,1992-10-20,294,233
"135",331,8052700,1992-11-02,307,246
"136",333,8052700,1992-11-08,313,252
"137",361,8052700,1993-06-08,159,98
"138",365,8052700,1993-09-13,256,195
"139",400,8052700,1994-07-08,189,128
"140",443,8052700,1995-07-21,202,141
"141",444,8052700,1995-08-01,213,152
"142",446,8052700,1995-09-18,261,200
"143",448,8052700,1995-09-25,268,207
"144",449,8052700,1995-10-02,275,214
"145",450,8052700,1995-11-02,306,245
"146",451,8052700,1995-12-03,337,276
"147",453,8052700,1995-12-29,363,302
"148",457,8052700,1996-02-10,41,346
"149",459,8052700,1996-03-10,70,9
"150",460,8052700,1996-03-14,74,13
"151",463,8052700,1996-04-04,95,34
"152",465,8052700,1996-04-20,111,50
"153",466,8052700,1996-04-23,114,53
"154",469,8052700,1996-06-02,154,93
"155",470,8052700,1996-06-08,160,99
"156",472,8052700,1996-07-13,195,134
"157",473,8052700,1996-08-02,215,154
"158",474,8052700,1996-08-28,241,180
"159",477,8052700,1996-09-14,258,197
"160",480,8052700,1996-10-11,285,224
"161",507,8052700,1997-05-18,138,77
"162",510,8052700,1997-06-10,161,100
"163",513,8052700,1997-06-28,179,118
"164",514,8052700,1997-08-07,219,158
"165",515,8052700,1997-08-22,234,173
"166",516,8052700,1997-10-09,282,221
"167",538,8052700,1998-04-05,95,34
"168",540,8052700,1998-04-12,102,41
"169",541,8052700,1998-04-16,106,45
"170",543,8052700,1998-04-27,117,56
"171",544,8052700,1998-05-09,129,68
"172",545,8052700,1998-10-02,275,214
"173",547,8052700,1998-10-18,291,230
"174",548,8052700,1998-11-01,305,244
"175",549,8052700,1998-11-11,315,254
"176",551,8052700,1998-11-28,332,271
"177",562,8052700,1999-03-01,60,365
"178",568,8052700,1999-04-23,113,52
"179",570,8052700,1999-05-09,129,68
"180",571,8052700,1999-05-26,146,85
"181",576,8052700,1999-07-07,188,127
"182",577,8052700,1999-09-13,256,195
"183",578,8052700,2001-10-10,283,222
"184",579,8052700,2001-10-29,302,241
"185",582,8052700,2001-11-23,327,266
"186",605,8052700,2002-06-26,177,116
"187",606,8052700,2002-07-13,194,133
"188",607,8052700,2002-08-16,228,167
"189",608,8052700,2002-08-26,238,177
"190",610,8052700,2002-09-04,247,186
"191",612,8052700,2002-10-06,279,218
"192",617,8052700,2002-11-18,322,261
"193",623,8052700,2002-12-23,357,296
"194",625,8052700,2003-01-20,20,325
"195",626,8052700,2003-01-28,28,333
"196",640,8052700,2003-05-15,135,74
"197",641,8052700,2003-05-20,140,79
"198",650,8052700,2003-09-11,254,193
"199",653,8052700,2003-10-04,277,216
"200",667,8052700,2004-02-23,54,359
"201",671,8052700,2004-04-04,95,34
"202",734,8052700,2005-08-09,221,160
"203",736,8052700,2005-11-11,315,254
"204",743,8052700,2006-03-18,77,16
"205",754,8052700,2006-09-18,261,200
"206",755,8052700,2006-10-11,284,223
"207",757,8052700,2006-10-25,298,237
"208",758,8052700,2006-11-30,334,273
"209",759,8052700,2006-12-16,350,289
"210",766,8052700,2007-02-09,40,345
"211",767,8052700,2007-02-23,54,359
"212",826,8052700,2008-08-01,214,153
"213",827,8052700,2008-08-13,226,165
"214",832,8052700,2008-10-06,280,219
"215",833,8052700,2008-10-16,290,229
"216",837,8052700,2008-11-19,324,263
"217",841,8052700,2008-12-14,349,288
"218",856,8052700,2009-04-12,102,41
"219",858,8052700,2009-04-29,119,58
"220",865,8052700,2009-06-29,180,119
"221",866,8052700,2009-07-06,187,126
"222",867,8052700,2009-07-21,202,141
"223",897,8052700,2010-03-20,79,18
"224",900,8052700,2010-04-18,108,47
"225",901,8052700,2010-05-15,135,74
"226",902,8052700,2010-07-03,184,123
"227",903,8052700,2010-08-20,232,171
"228",904,8052700,2010-09-01,244,183
"229",905,8052700,2010-09-07,250,189
"230",933,8052700,2011-08-16,228,167
"231",979,8052700,2013-09-21,264,203
"232",1039,8052700,2015-08-05,217,156
"233",1040,8052700,2015-08-28,240,179
"234",1075,8052700,2016-08-15,228,167
"235",1078,8052700,2016-09-11,255,194
"236",1079,8052700,2016-09-19,263,202
"237",1080,8052700,2016-10-08,282,221
"238",1105,8052700,2017-08-03,215,154
"239",1109,8052700,2017-09-12,255,194
"240",1132,8052700,2018-06-18,169,108
"241",1133,8052700,2018-07-27,208,147
"242",1134,8052700,2018-08-10,222,161
"243",1180,8052700,2019-07-30,211,150
"244",1205,8052700,2020-05-17,138,77
"245",1213,8052700,2020-07-21,203,142
"246",1216,8052700,2020-08-05,218,157
"247",1217,8052700,2020-08-17,230,169
"248",1219,8052700,2020-08-24,237,176
"249",1222,8052700,2020-10-24,298,237
"250",1241,8052700,2021-03-22,81,20
"251",1258,8052700,2021-08-17,229,168
"252",1297,8052700,2022-09-29,272,211
"253",1298,8052700,2022-10-23,296,235
"254",1340,8052700,2023-09-12,255,194
"255",1341,8052700,2023-09-22,265,204
"256",1342,8052700,2023-09-26,269,208
"257",25,11128500,1979-10-01,274,213
"258",26,11128500,1979-10-21,294,233
"259",60,11128500,1980-01-06,6,311
"260",70,11128500,1981-09-10,253,192
"261",72,11128500,1981-11-03,307,246
"262",89,11128500,1982-03-02,61,366
"263",94,11128500,1982-08-31,243,182
"264",95,11128500,1982-09-24,267,206
"265",156,11128500,1984-07-25,207,146
"266",158,11128500,1984-09-28,272,211
"267",159,11128500,1984-11-09,314,253
"268",184,11128500,1985-06-02,153,92
"269",185,11128500,1985-08-08,220,159
"270",186,11128500,1985-11-11,315,254
"271",197,11128500,1986-01-30,30,335
"272",207,11128500,1986-05-05,125,64
"273",210,11128500,1986-07-30,211,150
"274",215,11128500,1986-09-25,268,207
"275",217,11128500,1986-10-15,288,227
"276",218,11128500,1986-10-28,301,240
"277",219,11128500,1986-12-09,343,282
"278",225,11128500,1987-03-05,64,3
"279",228,11128500,1987-06-09,160,99
"280",229,11128500,1987-12-15,349,288
"281",231,11128500,1987-12-29,363,302
"282",233,11128500,1988-01-17,17,322
"283",235,11128500,1988-01-30,30,335
"284",236,11128500,1988-03-01,61,366
"285",237,11128500,1988-04-21,112,51
"286",240,11128500,1988-06-26,178,117
"287",241,11128500,1988-11-03,308,247
"288",242,11128500,1988-11-13,318,257
"289",245,11128500,1988-12-18,353,292
"290",252,11128500,1989-02-08,39,344
"291",253,11128500,1989-06-02,153,92
"292",254,11128500,1989-09-09,252,191
"293",256,11128500,1989-01-13,13,318
"294",257,11128500,1990-02-17,48,353
"295",258,11128500,1990-09-01,244,183
"296",259,11128500,1990-03-18,77,16
"297",266,11128500,1991-05-04,124,63
"298",267,11128500,1991-06-10,161,100
"299",273,11128500,1991-10-05,278,217
"300",276,11128500,1991-12-28,362,301
"301",283,11128500,1992-02-09,40,345
"302",293,11128500,1992-08-24,237,176
"303",299,11128500,1992-09-24,268,207
"304",339,11128500,1993-09-01,244,183
"305",340,11128500,1993-11-03,307,246
"306",359,11128500,1994-06-14,165,104
"307",360,11128500,1994-07-29,210,149
"308",395,11128500,1995-10-15,288,227
"309",417,11128500,1996-07-22,204,143
"310",449,11128500,1997-04-23,113,52
"311",452,11128500,1997-07-16,197,136
"312",569,11128500,2002-08-03,215,154
"313",626,11128500,2003-01-05,5,310
"314",642,11128500,2004-07-18,200,139
"315",820,11128500,2007-06-26,177,116
"316",1013,11128500,2010-07-25,206,145
"317",1014,11128500,2010-07-31,212,151
"318",1015,11128500,2010-08-03,215,154
"319",1182,11128500,2013-04-25,115,54
"320",1183,11128500,2013-07-17,198,137
"321",1237,11128500,2014-09-14,257,196
"322",1259,11128500,2015-08-07,219,158
"323",1267,11128500,2015-01-05,5,310
"324",1268,11128500,2016-01-26,26,331
"325",1278,11128500,2016-07-18,200,139
"326",1284,11128500,2016-11-27,332,271
"327",1285,11128500,2016-12-16,351,290
"328",1286,11128500,2016-12-24,359,298
"329",1287,11128500,2016-01-08,8,313
"330",1288,11128500,2017-01-16,16,321
"331",1301,11128500,2017-05-07,127,66
"332",1303,11128500,2017-05-14,134,73
"333",1305,11128500,2017-05-18,138,77
"334",1306,11128500,2017-08-24,236,175
"335",1338,11128500,2018-03-10,69,8
"336",1339,11128500,2018-03-20,79,18
"337",1342,11128500,2018-08-09,221,160
"338",1346,11128500,2018-01-05,5,310
"339",1347,11128500,2019-01-11,11,316
"340",1377,11128500,2019-07-26,207,146
"341",1378,11128500,2019-07-28,209,148
"342",1379,11128500,2019-12-04,338,277
"343",1380,11128500,2019-12-08,342,281
"344",1381,11128500,2019-12-19,353,292
"345",1411,11128500,2020-09-03,247,186
"346",1445,11128500,2021-08-08,220,159
"347",1493,11128500,2022-08-19,231,170
"348",NA,NA,NA,NA,NA
"349",NA,NA,NA,NA,NA
"350",NA,NA,NA,NA,NA
"351",NA,NA,NA,NA,NA
"352",NA,NA,NA,NA,NA
"353",NA,NA,NA,NA,NA
"354",NA,NA,NA,NA,NA
"355",NA,NA,NA,NA,NA
"356",NA,NA,NA,NA,NA
"357",NA,NA,NA,NA,NA
"358",NA,NA,NA,NA,NA
"359",NA,NA,NA,NA,NA
"360",NA,NA,NA,NA,NA
"361",NA,NA,NA,NA,NA
"362",NA,NA,NA,NA,NA
"363",NA,NA,NA,NA,NA
"364",NA,NA,NA,NA,NA
"365",NA,NA,NA,NA,NA
"366",NA,NA,NA,NA,NA
"367",NA,NA,NA,NA,NA
"368",NA,NA,NA,NA,NA
"369",NA,NA,NA,NA,NA
"370",NA,NA,NA,NA,NA
"371",NA,NA,NA,NA,NA
"372",NA,NA,NA,NA,NA
"373",NA,NA,NA,NA,NA
"374",NA,NA,NA,NA,NA
"375",NA,NA,NA,NA,NA
