Region,Watershed,Site,Samplers,Date,Time (CST),Time (UTC),Temp (*C),Pressure (mmHg),DO (%),DO (mg/L),Specific Cond. (uS/cm),Cond. (uS),pH,TDS (mg/L),Turbidity (NTU),Connected?,Flowing?,Weather,Samples Not Collected,Site Notes,Soil Temp (*C),Temp of waterbath(*C)
Great Plains,SF King's,SFM01,"ECS, AJB, CW, LS, CB",3/28/22,NA,NA,7,730.4,85.3,10.34,680,446,8.36,,0.33,Yes,Yes,"Sunny, 35F",Piezo samples,,,
Great Plains,SF King's,SFM07,No Water,3/28/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,,,,,
Great Plains,SF King's,02M02,No Water,3/28/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,,,,,
Great Plains,SF King's,04M01,"AJB, ECS, EB, CW, LS",3/28/22,NA,NA,9.7,728.8,92.2,10.45,636,451,NR,NR,NR,Yes,Yes,"Sunny, clear, 55F",,,,
Great Plains,SF King's,04M03,"ECS, JH, CW, CBB",3/28/22,NA,NA,16.9,727.7,97.9,9.44,1022,NR,8.14,NR,NR,Yes,Yes,"sunny, no clouds, 60F",,,,
Great Plains,SF King's,04M05,"SF, BN, RR",3/28/22,NA,NA,13.7,727.1,90.5,9.36,1039,NR,7.81,NR,NR,Yes,Yes,"sunny, no clouds, 60F",,,,
Great Plains,SF King's,04M09,"LS, BN, RR",3/28/22,NA,NA,16.8,725.4,94.4,9.14,1039,NR,8.16,NR,NR,No,No,"sunny, no clouds, 60F",,,,
Great Plains,SF King's,SFM01,all,5/9/22,10:43,,18.3,717.4,83.1,7.82,615,535,7.37,399,NA,Yes,Yes,"sunny, hot, windy",,Connected at N4,,
Great Plains,SF King's,02M02,all,5/9/22,14:46,,25.3,718.4,95.6,7.87,618,621,7.55,402,NA,Yes,Yes,"hot, sunny, no clouds",,,,
Great Plains,SF King's,04M01,CTW,5/9/22,12:10,,20.3,716.2,86.2,7.77,631,574,11.44,NA,NA,Yes,Yes,"sunny, hot  ",,"Took out piezo pressure transducer at 14:03; streamflow is fast! Piezo filtered samples collected: ANIP, AMMP, SRPP; Piezo unfiltered samples collected: ALKA, WAIS",,
Great Plains,SF King's,04M03,"RR, J, BN",5/10/22,10:06,,18.8,725.3,100.5,9.35,590,520,7.74,383,,Yes,Yes,hot sunny humid,"TSS, GHGs",,,
Great Plains,SF King's,04M05,"RR, J, BN",5/10/22,,,18.5,725.3,91.6,857,596,522,7.47,387,,Yes,Yes,hot sunny humid,,,,
Great Plains,SF King's,04M09,"RR, J, BN",5/10/22,16:59,,21.5,722.8,97.8,8.64,636,591,9.75,,,Yes,Yes,sunny 90s,,,,
Great Plains,SF King's,SFM07,Data ,Sheet,Missing!,,,,,,,,,,,,,,,,,
Great Plains,SF King's,SFM01,"SR, KZ, SC, CB",7/20/22,08:39,,18.2,728.2,50.3,4.66,643,560,6.94,,,Yes,Yes,"sunny, cool",,"18.9 C- piezo water bath. PI samples: GHG, MIMS, ANIO, CAIO, WAIS, ALKA, DOC",,
Great Plains,SF King's,04M01,"SR, KZ, SC, CB",7/20/22,10:50,,21.2,728.1,98.4,6.95,565,525,7.37,,,Yes,Yes,"sunny, 80",,PI: 1.16/1.76= 0.6=20.34 cm^3. GW temp: 22.4 C,,
Great Plains,SF King's,04M03,"KZ, SR, SC, CB",7/20/22,12:50,,25.2,727,110.1,9.06,590,592,7.69,384,,Yes,Yes,"sunny, clear skies",,gw not recharging in piezo,,
Great Plains,SF King's,04M05,"KZ, SR, SC, CB",7/20/22,15:30,,21.7,726.2,93.1,8.16,632,592,7.55,411,,Yes,Yes,"sunny, clear skies",,"gw depth: 1.09/1,76>0.67 = 22.713 cm^3",,
Great Plains,SF King's,SFM07,"SF, SC, CLB",7/21/22,,,20.4,727.4,91,8.19,567,517,7.75,368,,No,Yes,"cool, clear",,,,
Great Plains,SF King's,04M01,"CW, RW, BN",11/11/22,10:37,,5.8,733.9,34.5,4.26,649,411.7,10.64,NA,0.87 FNU,No,No,cold af 26 degrees F sunny,,"two long pools next to sensor, not flowing",,
Great Plains,SF King's,04M03,"CW, RW, BN",11/11/22,11:45,,,,,,,,,,,No,No,"cold, sunny",,Dry,,
Great Plains,SF King's,04M05,"CW, RW, BN",11/11/22,12:45,,6.2,731.4,71,8.74,741,474.6,11.28,NA,0.65 FNU,Yes,Yes,sunny 40's degree F,,"got here 12:35. Barely flowing. Long pool, about 50m on each side of LTM",,
Great Plains,SF King's,04M09,"CW, RW, BN",11/11/22,15:20,,,,,,,,,,,No,No,"cold, sunny",,Dry,,
Great Plains,SF King's,SFM01,"SF, CB",11/11/22,,,,,,,,,,,,,,,,No data sheet- Dry,,
Great Plains,SF King's,SFM07,"SF, CB",11/11/22,,,,,,,,,,,,,,,,No data sheet- Dry,,
Great Plains,SF King's,02M02,"SF, CB",11/11/22,,,,,,,,,,,,,,,,No data sheet- Dry,,
Great Plains,SF King's,04M05,"CB, JW, CW,SF, RR",6/5/23,17:45,,18.9,728.1,82.3,7.64,586,517,7.63,381,8.38,Yes,Yes,"80s, sunny",,,,
Great Plains,SF King's,SFM01,"JW, JH, CB, BN, AS",7/17/23,08:44,,21.6,728.8,42.5,3.5,318.8,297.7,7.31,207,266,N,N,"Cloudy, somewhat cool",,"Murky pool, looks like rainwater catchment",21.6,21.6
Great Plains,SF King's,02M02,"JW, JH, CB, BN, AS",7/17/23,09:00,,,,,,,,,,,N,N,"Sunny, hot and humid",All,Dry,21.9,
Great Plains,SF King's,SFM07,"JW, JH, CB, BN, AS",7/17/23,09:27,,,,,,,,,,,N,N,"Sunny, warming up",All,"(bone) dry, rocky",22.1,
Great Plains,SF King's,04M01,"JW, JH, CB, BN, AS",7/17/23,10:40,,21.8,728.1,50.4,4.42,631,593,7.46,410,38.8,Yes,N,"Sunny, hot ",,"Rocky, pooling",,21.9
Great Plains,SF King's,04M03,"JW, JH, CB, BN, AS",7/17/23,11:51,,28.1,727.2,124.8,7.7,526,559,7.99,342,6.24,Yes,Yes,"Sunny, very hot",,YSI taken upstream,,28.1
Great Plains,SF King's,04M05,"JW, JH, CB, BN, AS",7/17/23,12:34,,23.1,726.5,92.4,7.91,636,612,7.33,413,5.1,Yes,Yes,"Sunny, hot",,YSI taken upstream,,23.1
Great Plains,SF King's,04M09,"JW, JH, CB, BN, AS",7/17/23,01:43,,26.1,725.1,98.4,7.97,617,627,7.92,401,17.3,Yes,Yes,"Sunny, extremely hot",,,,26.1
Great Plains,Shane's,SHB07,,7/17/23,,,,,,,,,,,,,,,,dry,24.2,
Great Plains,Shane's,SHB04,,7/17/23,,,,,,,,,,,,,,,,dry,24.3,
Great Plains,Shane's,SHA01,SMF,7/17/23,,,,,,,,,,,,N,N,"Sunny, humid, cool",,dry,,
Great Plains,Shane's,SHM01,SMF,7/17/23,09:51,,18,731.2,20,1.82,842,728,7.06,547,,N,N,"Warm, sunny, humid",,"Iso pool, stage = 0.78 ft",18,18
Great Plains,Shane's,SHC01,SMF,7/17/23,10:50,,,,,,,,,,,N,N,"hot, sunny, humid",,dry,23,
Great Plains,Shane's,SHB01,SMF,7/17/23,,,,,,,,,,,,N,N,hot! sunny,,dry,25.6,
Great Plains,Shane's,SHB03,,7/17/23,,,,,,,,,,,,N,N,HOT,,dry,32.5,
Great Plains,SF King's,SFM07,"SF, RR",6/5/23,11:00,,,,,,,,,,,N,N,"hot, sunny",,"dry, bees!",21.5,
Great Plains,SF King's,04M09,"SF, RR",6/5/23,14:41,,236,,68.3,4.79,611,595,7.82,397,16.86,Y,Y,"hot, sunny",,"not sluggable, murky, stinky, trickle flow",23.6,23.6
Great Plains,SF King's,04M05,"CB, JW, CW, SF, RR",6/5/23,17:45,,18.9,729.1,82.3,7.64,586,517,7.63,381,8.38,Y,Y,"80's, sunny",,,,
Great Plains,SF King's,SFM01,"CB, JW, CW, SF, RR",6/5/23,08:45,,14.3,731,3.95,3.93,633,504,7.11,411,3.65,Y,Y,"70's, sunny",,"stage 1.87 ft, took extra DOC to compare to KU Shimadzu",14.3,14.3
Great Plains,SF King's,02M02,"CB, JW, CW, SF, RR",6/5/23,09:19,,,,,,,,,,,N,N,"warm, sunny",,dry,19.4,
Great Plains,SF King's,04M01,"CB, JW, CW, SF, RR",6/5/23,10:17,,17.8,730.7,67.7,6.42,557,480.3,7.59,362,4.02,Y,Y,"hot, sunny",,"downstream width (3.9 m), reach (17.10 m), downstream temp (17.7C), downstream SpC 563 us/cm, upstream width (0.84)",,17.8
Great Plains,SF King's,04M03,"CB, JW, CW, SF, RR",6/5/23,11:23,,21.1,729.7,105.4,9.36,575,533,7.98,374,5.19,Y,Y,"hot, sunny",,,,21.1
Great Plains,Shane's,SHM01,"CW, AS, CB, JW",6/6/23,14:32,,15.5,732.2,67.3,6.7,716,586,7.3,465,4.6,Y,Y,"sunny, 70's",,,,
Great Plains,Shane's,SHB01,"CW, AS, CB, JW",6/6/23,10:30,,18.4,,,,,,,,,Y,Y (trickle),hot sunny,"TSS, alka","not deep enough for YSI, sw and STIC are dry, iso pool from subsurface",18.4,18.4
Great Plains,Shane's,SHB03,"CW, AS, CB, JW",6/6/23,11:13,,,,,,,,,,,N,N,"clear, cool, 70's",all,dry,19.9,
Great Plains,Shane's,SHB07,,6/6/23,13:03,,,,,,,,,,,,,,,water ~.8 meter downstream and ~1 meter upstream,17.1,
Great Plains,Shane's,SHM01,"SF, CB, JW, RW, CW",4/24/23,09:40,,12.2,733.6,54.3,5.81,741,560,7.15,482,-1.16,Y,Y,"cool, sunny",TSS,attempting a salt slug,12.2,12.2
Great Plains,Shane's,SHA01,"SF, CB, JW, RW, CW",4/24/23,10:30,,,,,,,,,,,N,N,"sunny, warming up",all,dry,12,
Great Plains,Shane's,SHC01,"SF, RW",4/24/23,10:45,,,,,,,,,,,N,N,"pleasant, sunny",all,dry site but with pool a little ways upstream,10.9,
Great Plains,Shane's,SHB01,"SF, RW",4/24/23,10:55,,,,,,,,,,,N,N,"warm, sunny",all,dry,12,
Great Plains,SF King's,04M05,"SF, CB, JW, RW",4/24/23,17:15,,12.8,728.1,86.5,9.14,592,453.7,7.69,384,9.21,Y,Y,"cool, sunny",TSS,"bison crossed upstream of site, water looks muddy and does not look like it will clear anytime soon",12.8,
Great Plains,SF King's,04M09,"SF, CB, JW, RW",4/24/23,18:07,,14.7,726.7,88,8.93,571,458.3,7.92,371,-0.11,Y,Y,"cool, sunny",TSS,"pools on either side of STIC, connected and flowing upstream",14.7,
Great Plains,SF King's,04M01,"RW, CB, SF, JW",4/24/23,15:29,,13.8,729.8,72,7.45,564,443.8,7.56,367,,Y,Y,sunny pleasant breezy,TSS,,13.8,
Great Plains,SF King's,04M03,"RW, CB, SF, JW",4/24/23,16:30,,17.2,728.5,96.9,9.3,571,486.1,7.97,371,2.23,Y,Y,"cool, sunny",TSS,,17.2,
Great Plains,Shane's,SHB07,"SF, RW",4/24/23,12:40,,,,,,,,,,,N,N,warm sunny,all,dry,13.9,
Great Plains,SF King's,SFM07,"SF, RW",4/24/23,14:40,,,,,,,,,,,N,N,sunny,All but DEA Seds,"30% leaves, 10% silt, 60% gravel, dry",16.6,
Great Plains,SF King's,SFM01,"CB, SF",4/21/23,12:12,,12.5,732,78.7,8.39,582,44.5,7.35,377,2.88,Y,Y,clear,TSS,,12.5,
Great Plains,Shane's ,SHB03,"RW, SF, CB, CW, JW",4/24/23,11:15,,,,,,,,,,,N,N,warm sunny,All but DEA Seds,Dry,13.8,
Great Plains ,Shane's ,SHB04,"RW, SF, CB, CW, JW",4/24/23,11:45,,,,,,,,,,,N,N,warm sunny,All but DEA Seds,Dry,15.1,
GP,Youngmeyer,EN201,"RR, JH, & ES",4/12/22,09:06,4:06 AM,14.6,714.8,91.7,9.1,485.2,390.2,7.64,315,NA,Y,Y,"Windy, cloudy, humid ",GHG Rep 3,,,
GP,Youngmeyer,ENM06,"RR, JH, & ES",4/12/22,10:21,5:21 AM,16.4,713.7,94.7,9.27,533,445,7.35,346,NA,Y,Y,"sun w/ clouds, windy",,,,
GP,Youngmeyer,ENM08,ES & JH,4/12/22,14:01,09:01,24.9,711.1,136.8,11.51,553,548,7.37,859,NA,Y,Y,"Sunny, windy",,"Lots of fil algae, wind driven water movement, very shallow (<2 in)",,
GP,Youngmeyer,ENM11,ES & JH,4/12/22,15:12,10:12,25.23,709.6,149.9,12.41,504,503,7.49,328,NA,Y,Y,"Sunny, windy",,Lots of fil green algae! Samples were taken 5 m downstream because there was very little water by the well,,
GP,Youngmeyer,ENM01,CLB JH,4/11/22,13:00,08:00,13.1,722.4,93.7,9.83,492.4,380.6,7.65,NA,NA,Y,Y,"cloudy, nice",,6.8 m wet width; really flowing; super sensor download unplugged 13:10 ,,
GP,Youngmeyer,ENM04,CLB JH,4/11/22,19:03,13:03,16.4,719.1,93.9,9.17,506,422.7,7.5,329,NA,Y,Y,"sunny, no clouds",,very shallow flow,,
GP,Youngmeyer,EN301,"JH, SZ, ES",4/11/22,12:22,07:22,23.1,713.9,107.6,9.32,529,508,7.35,343,NA,Y,Y,"sunny, windy",,YSI & TSS was collected 7 m downstream of the well. Little water in the stream (< 1 in),,
GP,Youngmeyer,ENM01,"KZ, SR, LS, CB, JH",7/14/22,10:30,,25.1,726.6,83.1,6.82,537,536,3.45?,,,Y,Y,"sunny, no clouds",,,,
GP,Youngmeyer,EN201,"KZ, SR, LS, CB, JH",7/14/22,11:40,,22.1,725.5,33.2,2.86,634,596,3.02?,,,No,No,sunny,,,,
GP,Youngmeyer,EN301,"SR, KZ, CB, LS",7/14/22,12:41,,,,,,,,,,,No,No,"sunny, no clouds",,GW well tape measurement: 1.5m. 1.75m before recharge. DRY,,
GP,Youngmeyer,ENM04,"SR, KZ, CB, LS",7/14/22,13:30,,27.9,725.4,90.7,7.07,588,621,,,,,,,,GW depth: 1.17m. Before recharge: 1.43m,,
GP,Youngmeyer,ENM06,"SR, KZ, CB, LS",7/14/22,14:02,,33.3,723.5,97.5,6.82,545,639,,,,Y,Y,,,GW depth: 1.45m,,
GP,Youngmeyer,ENM08,"SR, KZ, CB, LS",7/14/22,15:34,,,,,,,,,,,,,,,GW depth: 1.67m. Completely dry,,
GP,Youngmeyer,ENM11,"SR, KZ, CB, LS",7/14/22,15:44,,,,,,,,,,,,,,,"Completely dry, PI completely dry",,
GP,Youngmeyer,ENM08,"CTW, CB, JH",5/1/23,,,,,,,,,,,,N,N,,,Dry,22.4,
GP,Youngmeyer,ENM01,"JW, SF, CW, CB",5/1/23,11:50,,14.2,724.8,62,6.35,549,435.2,7.39,,,N,N,"sunny, windy, mild",TSS,"stream bifurcates at STIC sensor, stream is not flowing",14.2,
GP,Youngmeyer,EN201,"CTW, CLB, JF",5/1/23,,,,,,,,,,,,,,,All,Dry,14.2,
GP,Youngmeyer,EN301,"CTW, CLB, JF",5/1/23,,,,,,,,,,,,N,N,,All,Dry,19.1,
GP,Youngmeyer,ENM04,"JW, SF, CW, CB",5/1/23,,,,,,,,,,,,N,N,"swarm, breezy, sunny",All,"dry, pool upstream",18.7,
GP,Youngmeyer,ENM06,"SF, JW, RR",5/1/23,14:00,,17,722.2,86.3,8.32,515,436.4,7.28,335,3.15,Y,N,warm breezy sunny,TSS,so much algae,17,
GP,Youngmeyer,ENM11,"SF, JW, RR",5/1/23,15:00,,,,,,,,,,,N,N,warm sunny breezy,All,Dry,22.9,
GP,Youngmeyer,ENM01,"JH, JF, SF, CB",7/20/23,08:00,,24.3,726.7,38.5,3.1,1051,1037,7.36,683,1.1,Y,Y,"Sunny, humid, no breeze ",,"Stream flowing, lots of vegetation next to and surrounding water ",24.3,24.3
GP,Youngmeyer,EN301,"JH, JF, SF, CB",7/20/23,11:50,,,,,,,,,,,N,N,"Hot, sunny ",,Dry,29.9,
GP,Youngmeyer,ENM04,"JH, JF, SF, CB",7/20/23,09:10,,24.1,726.2,92.8,7.77,504,494.9,7.87,327,4,Y,Y,"Overcast, warm, breezy",,"Very shallow, had to use extra vial for GHG 3",24.1,24.1
GP,Youngmeyer,EN201,"JH, JF, SF, CB",7/20/23,09:50,,22.1,,,,,,,,,N,Y,"Overcast, warm",Not deep enough for YSI,"Water up and downstream, disconnected at top of LTM, not deep enough for YSI, used soil therm",22.1,
GP,Youngmeyer,ENM06,"JH, JF, SF, CB",7/20/23,10:44,,27.1,725.7,107.6,8.56,538,559,7.68,349,4,Y,Y,"Hot, sunny, some clouds",,MIMs are ENM04,27.1,
GP,Youngmeyer,ENM08,"JH, JF, SF, CB",7/20/23,11:15,,32.6,,,,,,,,,N,N,,All,Dry!,,
GP,Youngmeyer,ENM11,"JH, JF, SF, CB",7/20/23,11:26,,,,,,,,,,,N,N,"Some clouds, breezy, hot",All,dry,27.6,
GP,Youngmeyer,ENM01,"CW, CB, JW, AS",6/8/23,15:22,,21.1,721.6,60.3,5.32,529,488.9,7.29,342,-0.85,Y,Y,"sunny, 70's",,Only connected upstream of supersensor (6m),NA,
GP,Youngmeyer,ENM06,"CW, CB, JW, AS",6/8/23,16:15,,25.7,720.3,94.5,7.65,436.8,442.2,7.52,284,114.62,Y,Y,"Sunny, 80's",TSS,Flow too low for slug,NA,
GP,Youngmeyer,ENM08,"CW, JW, AS",6/8/23,,,,,,,,,,,,,,"Sunny, 80's",All,DRY,29.1,
GP,Youngmeyer,ENM11,"CW, JW, AS",6/8/23,,,,,,,,,,,,,,"Sunny, 80's",All,DRY,25.4,
GP,Youngmeyer,ENM04,"SF, CW, AS",6/8/23,16:01,,23.5,720.6,88.1,7.48,517,502,7.78,336,104.51,Y,Y,"Sunny, 80's",,Only connected ~8m upstream of site,NA,
GP,Youngmeyer,EN201,"SF, CW, AS",6/8/23,17:30,,,,,,,,,,,,,"Sunny, 80's",All,Dry,20.4,
GP,Youngmeyer,EN301,"SF, CB",6/6/23,18:20,,,,,,,,,,,,,,,DRY,26.5,