siteId,sublocation,elevation,long,lat,twi,distance_from_outlet,drainage_area_m,drainage_area_ha,slope_point,slope_buffer,stream_slope,appr1,appr2,appr3,appr4
PRM01,SW,211.4,-86.16520695,34.96878824,20.2,0,2966405,296.6,0.3,1.6,0.4,1,1,0,0
PRM06,SW,226,-86.17169774,34.96711041,18.1,730,2535813,253.6,2.1,11,1.5,1,1,0,0
PRM07,HS,231.9,-86.17321987,34.96715685,18.1,877,2444139,244.4,1.9,6.2,1.5,1,0,0,0
PRM08,HS,235.2,-86.17404489,34.9668108,17.1,968,2361150,236.1,5.2,13.2,3.4,1,0,0,0
PRB01,SW,246.4,-86.1752672,34.96616987,14.3,1122,426799,42.7,14.3,17.6,14.3,1,1,0,0
PRM11,SW,249.2,-86.17583646,34.96510971,18.7,1237,1644561,164.5,0.7,11.4,8,1,1,0,0
PRM12,HS,261.5,-86.17658866,34.9643754,15.3,1351,1609884,161,20.9,18.1,6.6,1,0,0,0
PRM10,HS,245.3,-86.1754046,34.96557567,16.6,1167,1782052,178.2,6.1,15,5.2,1,0,0,0
PRM09,SW,238.6,-86.17481713,34.966266,17.7,1068,2242331,224.2,2.6,10.9,6.4,1,0,0,0
PRM05,HS,222.7,-86.17077468,34.96740168,18.3,631,2605320,260.5,1.8,12,1.4,1,0,0,0
PRM04,HS,219.5,-86.16966677,34.96755642,17.8,523,2627270,262.7,2.8,6.3,1.3,1,0,0,0
PRM03,HS,214.9,-86.16785794,34.96769733,21.4,326,2847032,284.7,0.1,7.8,1,1,0,0,0
PRM02,HS,212.9,-86.16669443,34.96793281,19.7,189,2924263,292.4,0.5,6.7,0.5,1,0,0,0
PRM13,HS,298,-86.17815827,34.9629523,17.3,1579,1434025,143.4,2.5,8.6,3.7,1,0,0,0
PRM14,HS,302.3,-86.17863212,34.96266696,16.5,1636,1305098,130.5,4.9,12.2,5,1,0,0,0
PRM16,HS,312.3,-86.17960376,34.96188903,17.2,1765,1249873,125,2.5,11.9,1.9,1,0,0,0
PRA01,SW,321.4,-86.17976168,34.96143022,14.9,1835,412613,41.3,7.6,16.3,12.5,1,1,0,0
PRM18,HS,326.4,-86.18115174,34.96152977,15.5,1928,797009,79.7,8.4,20.2,7.5,1,0,0,0
PRM17,HS,316.4,-86.18003352,34.96163043,16.4,1818,823729,82.4,3.6,12.3,5.7,1,0,0,0
PRA02,HS,347.3,-86.17967362,34.96037462,13.9,1957,378429,37.8,18.8,24.7,13.2,1,0,0,0
PRM19,SW,353.2,-86.18338963,34.96118415,15.3,2151,606671,60.7,8,15.4,8.7,1,1,0,0
PRM23,HS,436.9,-86.18655977,34.9618186,14.8,2485,182295,18.2,3.9,16.6,6,1,0,0,0
PRM22,HS,404.4,-86.18570913,34.96144319,14.6,2384,352379,35.2,9,12.8,13.2,1,0,0,0
PRM21,HS,380.8,-86.18482421,34.96121183,14.9,2292,428113,42.8,8.6,16.3,12.7,1,0,0,0
PRM20,HS,361.9,-86.18386147,34.96109715,14.7,2198,566176,56.6,12.6,21.1,13.3,1,0,0,0
PRB02,HS,317.9,-86.17752101,34.96643763,14.7,1344,379404,37.9,9.3,17.1,15.9,1,0,0,0
PRB03,HS,347.6,-86.1795151,34.966388,15.4,1540,349309,34.9,4.3,13.1,8.4,1,0,0,0
PRM15,SW,307.3,-86.17908495,34.9622913,16.5,1699,1280546,128.1,5.2,12.7,4.1,1,1,0,0
PRR06,HW,226.8,-86.17171713,34.96726626,7.3,NA,NA,NA,5,7.9,NA,0,0,0,0
PRR15,HW,308.2,-86.17905325,34.96226026,5.8,NA,NA,NA,22,22.4,NA,0,0,0,0
PRR19,HW,354.7,-86.18338244,34.96111245,5.3,NA,NA,NA,19.5,21.9,NA,0,0,0,0
TLM20,HS,405.8,-85.60513063,33.76861664,13.3,2205,47329,4.7,5.4,13.4,4,1,0,1,0
TLM22,HS,414.7,-85.60421948,33.76948867,12.7,2338,27852,2.8,5.6,10.3,4.6,1,0,1,0
TLM21,HS,409.3,-85.60467816,33.76886124,13.5,2257,40709,4.1,3.7,8.2,2.7,1,0,1,0
TLM18,HS,389.2,-85.60490323,33.76727392,15.2,1994,150743,15.1,2.5,10.4,2.4,1,0,1,0
TLM17,HS,381,-85.60430565,33.76601858,15.2,1843,175204,17.5,3,7.6,3.3,1,0,1,0
TLM16,SW,373.9,-85.60335906,33.76477593,17.1,1671,198490,19.8,0.5,7.7,2.4,1,1,1,0
TLA04,HS,394.9,-85.60717965,33.76456107,15.2,1994,84172,8.4,1.4,7.6,0.9,1,0,1,0
TLA03,HS,386.4,-85.60574665,33.76442836,13.9,1852,105290,10.5,6.4,17.4,2.9,1,0,1,0
TLA02,HS,380.4,-85.60487839,33.76450178,15.1,1773,119058,11.9,2.2,13,3.4,1,0,1,0
TLA01,SW,374.3,-85.60383454,33.76434015,15.3,1660,135533,13.6,2.1,5.2,2.4,1,1,1,0
TLM15,HS,370.1,-85.60281725,33.76377093,16.7,1506,354901,35.5,1.3,3.2,1.4,1,0,1,0
TLM14,HS,365.9,-85.60235125,33.76300818,16.7,1333,376542,37.7,1.5,10.3,1.4,1,0,1,0
TLM13,HS,362.9,-85.60283295,33.76218957,16.9,1218,438554,43.9,1.3,2.8,1.3,1,0,1,0
TLM12,HS,361.5,-85.60292911,33.76179111,16.7,1149,443224,44.3,1.7,7.6,1,1,0,1,0
TLM10,SW,361.1,-85.60285453,33.76147396,17.3,1112,445713,44.6,0.9,3,0.6,1,1,1,0
TLM11,HS,359.7,-85.60249477,33.76092051,16.6,1016,519774,52,2.2,11.4,0.9,1,0,1,0
TLM09,HS,358.5,-85.60189156,33.76063066,17,950,543826,54.4,1.6,9,1.1,1,0,1,0
TLM06,SW,353.5,-85.59948865,33.76008734,17.9,622,630222,63,0.7,1.8,0.2,1,1,1,0
TLB01,HS,355.4,-85.5993667,33.75961982,13.9,647,54754,5.5,3.3,6.1,2.1,1,0,1,0
TLM04,HS,350.5,-85.59752568,33.76068101,18,372,737851,73.8,0.7,3.2,0.5,1,0,1,0
TLC02,HS,357.1,-85.59913657,33.76273866,12.2,483,11988,1.2,4,5.3,2.6,1,0,1,0
TLC01,SW,348.4,-85.59669384,33.76157886,16.7,149,131878,13.2,0.5,4.9,1.2,1,1,1,0
TLM03,HS,348.1,-85.59631656,33.76149133,17.6,152,762000,76.2,1.2,3.1,1,1,0,1,0
TLM02,HS,347,-85.59612852,33.76202192,16.9,72,903679,90.4,2.7,8.9,0.3,1,0,1,0
TLM08,HS,356.9,-85.60121468,33.76058137,16.2,858,573476,57.3,3.5,11.7,1.8,1,0,1,0
TLM01,SW,346.2,-85.59550775,33.76219799,17.3,0,917928,91.8,1.9,7,0.4,1,1,1,0
TLX03,HS,418.8,-85.60553138,33.76910396,11.1,2237,9139,0.9,9.6,14.8,9.3,1,0,1,0
TLX02,HS,424.3,-85.60604889,33.76915142,11.2,2245,15344,1.5,14.2,17.6,13,1,0,1,0
TLX01,HS,405.2,-85.6057692,33.76857391,11.9,2174,31588,3.2,13.9,18.5,11.5,1,0,1,0
TLM19,SW,399.7,-85.60573527,33.76820728,14.4,2129,92188,9.2,3.6,19.9,4.6,1,1,1,0
TLY02,HS,400.1,-85.6059828,33.76707803,11.8,2122,14635,1.5,7,10.7,5.9,1,0,1,0
TLY03,HS,402.2,-85.60621535,33.76748852,11.4,2117,18243,1.8,13,16.8,11.3,1,0,1,0
TLY01,HS,394.8,-85.60568816,33.7674243,13.2,2069,44138,4.4,5.3,9,5.1,1,0,1,0
TLMG5,HS,377.2,-85.60383882,33.76530577,15.8,1751,185731,18.6,1.7,9,1.5,1,0,1,0
TLAG4,HS,391.3,-85.6063868,33.76428576,13.8,1914,92646,9.3,6.2,17.9,3.4,1,0,1,0
TLA05,HS,399.8,-85.6077817,33.76430983,12.8,2057,31727,3.2,6,12.5,3.9,1,0,1,0
TLA06,HS,402.8,-85.6081551,33.7640227,12.9,2101,25178,2.5,4,10,3.1,1,0,1,0
TLA08,HS,399,-85.60780891,33.76509258,12.4,2078,24227,2.4,6.5,6.9,5.5,1,0,1,0
TLA07,HS,397,-85.60769229,33.76490814,14.1,2055,38960,3.9,2,9.2,3.8,1,0,1,0
TLZ03,HS,365.6,-85.60404969,33.76152078,13.2,1187,27098,2.7,3.2,7.2,4.1,1,0,1,0
TLZ02,HS,366.8,-85.60398291,33.7613369,12.6,1196,15370,1.5,3.6,7.1,4,1,0,1,0
TLZ01,HS,363.1,-85.60336284,33.76147139,14.2,1124,57449,5.7,2.6,5.5,2.1,1,0,1,0
TLCG1,HS,350.7,-85.59761542,33.76128968,16.4,251,106546,10.7,0.5,3.9,0.8,1,0,1,0
TLCG2,HS,353.6,-85.59845045,33.76203167,15,380,92842,9.3,1.8,5.5,1.6,1,0,1,0
TLC03,HS,361,-85.60019319,33.76272568,12.8,585,16387,1.6,3.1,13.6,2.3,1,0,1,0
TLC04,HS,366.8,-85.60078591,33.76304871,11.2,651,9622,1,8.8,13.2,8,1,0,1,0
TLC05,HS,360.8,-85.59972549,33.76329473,13.2,576,31907,3.2,3.9,13.6,2.6,1,0,1,0
TLC06,HS,366.5,-85.60045433,33.7638274,12.7,663,24964,2.5,5.1,16.3,5.1,1,0,1,0
TLC07,HS,370.8,-85.6004578,33.76422698,12.7,709,15971,1.6,3.3,12.1,4.1,1,0,1,0
TLB02,HS,359.2,-85.59949737,33.75893874,14.1,727,46538,4.7,2.4,7.1,1.8,1,0,1,0
TLB03,HS,363.9,-85.59896433,33.7586247,11.9,791,13395,1.3,6.2,13.2,5.6,1,0,1,0
TLB04,HS,367.5,-85.5987073,33.75849693,11.1,819,9676,1,10.1,17.6,8.1,1,0,1,0
TLB05,HS,364.3,-85.59981464,33.75842626,12.7,798,23757,2.4,4.9,10.8,5.9,1,0,1,0
TLMG3,HS,349.1,-85.59681253,33.76102251,16.7,231,756276,75.6,2.8,5.2,0.8,1,0,1,0
TLM07,HS,353.5,-85.59962869,33.76005563,18.1,636,630023,63,0.6,3.8,1.4,1,0,1,0
TLM05,HS,352,-85.59850825,33.7603176,16.9,494,707738,70.8,2.2,3.1,1.6,1,0,1,0
TLR22,HW,415.1,-85.60425414,33.76951414,4.6,NA,NA,NA,10.1,10.1,NA,0,0,0,0
TLH19,HW,403.9,-85.60583649,33.76820733,4.4,NA,NA,NA,27.1,28.2,NA,0,0,0,0
TLR19,HW,399.8,-85.60574653,33.76819839,5.4,NA,NA,NA,13.3,19.4,NA,0,0,0,0
TLR16,HW,374.7,-85.60335328,33.7648246,5.4,NA,NA,NA,7.3,7.3,NA,0,0,0,0
TLH16,HW,376.5,-85.60329814,33.76491049,4.3,NA,NA,NA,16,15.6,NA,0,0,0,0
TLH06,HW,355.2,-85.59959398,33.76028939,5,NA,NA,NA,9.1,8.6,NA,0,0,0,0
TLR06,HW,353.6,-85.59951344,33.76013753,4.1,NA,NA,NA,2.9,2.4,NA,0,0,0,0
WHM01,SW,63.6,-88.0134,32.98414595,17.6,0,701374,70.1,0.9,6.7,0.7,1,1,0,0
WHA02,SW,67,-88.0111,32.98558943,15.5,312,121337,12.1,1.2,2.5,2,1,1,0,0
WHM03,SW,65.8,-88.0111,32.98521038,16,279,304712,30.5,2,3.7,0.7,1,1,0,0
WHB01,SW,65.5,-88.0112,32.98502037,16,266,224852,22.5,1.4,5.3,0.6,1,1,0,0
WHM02,HS,65.2,-88.0118,32.98493478,16.9,197,666518,66.7,1.8,3.9,0.6,1,0,0,0
WHM14,HS,79.9,-88.0025,32.98595644,13.9,1401,55815,5.6,2.8,8.1,1.7,1,0,0,0
WHM13,HS,78.9,-88.0029,32.98644974,14.6,1333,73592,7.4,1.9,4.9,0.1,1,0,0,0
WHM12,SW,78.5,-88.003,32.98672804,15.8,1296,78421,7.8,0.6,3.3,0.8,1,1,0,0
WHM11,HS,77,-88.004,32.98747755,15.5,1155,110993,11.1,1.2,2,0.9,1,0,0,0
WHM10,SW,75.6,-88.005,32.98750613,16.3,1052,148405,14.8,0.7,2.2,1,1,1,0,0
WHM09,HS,73,-88.0057,32.9868418,16.6,928,198093,19.8,0.7,11.3,0.9,1,0,0,0
WHM08,HS,71.7,-88.0069,32.98643513,15.7,795,224304,22.4,1.9,9.9,0.7,1,0,0,0
WHM07,SW,71,-88.0076,32.98619546,15.3,716,239825,24,3.2,6.6,0.4,1,1,0,0
WHM06,HS,70,-88.0083,32.98635175,16.5,635,258925,25.9,1,5.5,0.3,1,0,0,0
WHM05,HS,67.9,-88.0096,32.98585409,16,466,287673,28.8,1.9,6.6,0.3,1,0,0,0
WHM04,HS,66.6,-88.0105,32.98555804,15.8,359,299020,29.9,2.3,6.9,0.7,1,0,0,0
WHA01,HS,66.1,-88.0113,32.98529935,15.5,272,121734,12.2,1.3,2.2,1.3,1,0,0,0
WHA03,HS,67.9,-88.011,32.9858065,14.5,338,120790,12.1,3.3,3.8,1.5,1,0,0,0
WHA04,HS,69.9,-88.0109,32.98657406,15.6,428,112550,11.3,1.1,2.5,0.6,1,0,0,0
WHA05,HS,70.8,-88.0105,32.98736192,15.8,530,85733,8.6,0.7,2.6,1.2,1,0,0,0
WHA06,HS,74.1,-88.0094,32.98850775,14.3,729,44518,4.5,1.6,1.9,0.9,1,0,0,0
WHB02,HS,66.6,-88.0105,32.98508012,16,347,214367,21.4,1.4,6,1.2,1,0,0,0
WHB03,HS,68.8,-88.0096,32.98451962,16.2,467,194175,19.4,1,2,0.7,1,0,0,0
WHB04,HS,70.4,-88.0083,32.98436723,15.4,596,170205,17,2.1,2.6,0.5,1,0,0,0
WHB05,HS,72.2,-88.007,32.98460358,14.4,742,108340,10.8,3.5,5.7,1.3,1,0,0,0
WHB06,HS,74.3,-88.0058,32.98473066,15.2,868,90111,9,1.3,2.5,1,1,0,0,0
WHB07,HS,75.9,-88.0044,32.98468775,15.5,1011,54999,5.5,0.6,2.9,0.9,1,0,0,0
WHR12,HW,78.5,-88.003,32.98672549,7.1,NA,NA,NA,2.9,3,NA,0,0,0,0
WHR10,HW,75.6,-88.005,32.9875204,6.4,NA,NA,NA,1.5,1.8,NA,0,0,0,0
WHR07,HW,71.7,-88.0075,32.98616707,3.2,NA,NA,NA,4.8,5.5,NA,0,0,0,0